Value,Rechercheweg
"Bezirksamt Marzahn-Hellersdorf von Berlin, SE Finanzen",publisher_name
"Bezirksamt Steglitz-Zehlendorf - Abt. Immobilien, Umwelt und Tiefbau, Serviceeinheit Facility Management",publisher_name
Bezirksamt Steglitz-Zehlendorf - Büro der Bezirksbürgermeisterin,publisher_name
Bezirksamt Steglitz-Zehlendorf - Jugendamt,publisher_name
Bezirksamt Steglitz-Zehlendorf - Schulamt und Hochbauamt,publisher_name
Bezirksamt Steglitz-Zehlendorf - Straßen- und Grünflächenamt,publisher_name
Bezirksamt Treptow-Köpenick - Büro Bezirksbürgermeister,publisher_name
"Bezirksämter, Bezirksamt Hamburg-Mitte, Dezernat Steuerung und Service, Interner Service, Katastrophen- und Zivilschutz",publisher_name
"Bezirksämter, Bezirksamt Harburg",publisher_name
bonn,publisher_name
Der Polizeipräsident in Berlin,publisher_name
Dortmund,publisher_name
duisburg,publisher_name
düsseldorf,publisher_name
Fachstelle für Geoinformationen Süd beim WSA Regensburg (FGS),publisher_name
"Freie Hansestadt Bremen, Senator für Kultur, Landesamt für Denkmalpflege",publisher_name
gelsenkirchen,publisher_name
Hamburg Port Authority,publisher_name
Hamburger Wasserwerke GmbH,publisher_name
köln,publisher_name
LAGeSo,publisher_name
meerbusch,publisher_name
münster,publisher_name
S-Bahn Hamburg GmbH,publisher_name
"Stadt Braunschweig, Fachbereich Stadtplanung und Umweltschutz, Abt. Geoinformation",publisher_name
"Stadtmuseum Berlin, eCulture",publisher_name
Wassertourismus in Schleswig-Holstein e.V.,publisher_name
wuppertal,publisher_name
Berliner Umweltportal,publisher_name
Berliner Vermessungsämter,publisher_name
Bezirksamt Lichtenberg,publisher_name
Bezirksamt Steglitz-Zehlendorf,publisher_name
Bezirksregierung Arnsberg,publisher_name
Gemeinde Grafschaft,publisher_name
Gemeinsame Normdatei,publisher_name
Jugendamt Lichtenberg,publisher_name
Jugendamt Marzahn-Hellersdorf,publisher_name
Kreis Gütersloh,publisher_name
Kreis Nordfriesland,publisher_name
Kreis Pinneberg,publisher_name
Landeshauptstadt Kiel,publisher_name
Landratsamt Bautzen,publisher_name
Leipziger Verkehrsbetriebe,publisher_name
S-Bahn Stuttgart,publisher_name
Stadt Wuppertal,publisher_name
Stadtverwaltung Leipzig,publisher_name
Verbandsgemeide Kastellaun,publisher_name
Verbandsgemeide Kirchberg,publisher_name
Verbandsgemeide Rheinböllen,publisher_name
Verbandsgemeide Simmern,publisher_name
